trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans
46,6  +  3,165,1.45,166.45,11        9,166.45,1.45,167.9, ,167.9,168,0.1,2
28,7  +  3,96,1.45,97.45,10        12,97.45,1.45,98.9, ,98.9,99,0.1,1
32,5  +  4,108,1.45,109.45,7        9,109.45,1.45,110.9, ,110.9,111,0.1,2
41,2  +  6,150,1.45,151.45,8        6,151.45,1.45,152.9, ,152.9,153,0.1,1
52,5  +  4,183,1.45,184.45,9        7,184.45,1.45,185.9, ,185.9,186,0.1,1
26,2  +  3,90,1.45,91.45,5        7,91.45,1.45,92.9, ,92.9,93,0.1,1
80,4  +  2,282,1.45,283.45,4        6,283.45,1.45,284.9, ,284.9,285,0.1,2
18,4  +  2,51,1.45,52.45,6        4,52.45,1.45,53.9, ,53.9,54,0.1,1
27,5  +  4,93,1.45,94.45,7        9,94.45,1.45,95.9, ,95.9,96,0.1,2
5,1  +  2,12,1.45,13.45,1        3,13.45,1.45,14.9, ,14.9,15,0.1,2
34,3  +  3,114,1.45,115.45,6        8,115.45,1.45,116.9, ,116.9,117,0.1,1
62,1  +  7,228,1.45,229.45,6        8,229.45,1.45,230.9, ,230.9,231,0.1,2
73,1  +  5,261,1.45,262.45,6        4,262.45,1.45,263.9, ,263.9,264,0.1,1
74,1  +  4,264,1.45,265.45,5        7,265.45,1.45,266.9, ,266.9,267,0.1,1
48,4  +  3,171,1.45,172.45,9        7,172.45,1.45,173.9, ,173.9,174,0.1,2
40,2  +  7,132,1.45,133.45,7        9,133.45,1.45,134.9, ,134.9,135,0.1,2
77,5  +  2,273,1.45,274.45,5        7,274.45,1.45,275.9, ,275.9,276,0.1,2
24,4  +  3,84,1.45,85.45,5        7,85.45,1.45,86.9, ,86.9,87,0.1,2
42,2  +  1,153,1.45,154.45,5        3,154.45,1.45,155.9, ,155.9,156,0.1,2
8,4  +  6,21,1.45,22.45,12        10,22.45,1.45,23.9, ,23.9,24,0.1,2
56,1  +  8,195,1.45,196.45,11        9,196.45,1.45,197.9, ,197.9,198,0.1,2
76,1  +  6,270,1.45,271.45,9        7,271.45,1.45,272.9, ,272.9,273,0.1,2
6,1  +  6,15,1.45,16.45,7        5,16.45,1.45,17.9, ,17.9,18,0.1,1
1,4  +  2,0,1.45,1.45,8        6,1.45,1.45,2.9, ,2.9,3,0.1,2
64,5  +  3,234,1.45,235.45,8        6,235.45,1.45,236.9, ,236.9,237,0.1,1
12,7  +  1,33,1.45,34.45,6        8,34.45,1.45,35.9, ,35.9,36,0.1,2
54,5  +  5,189,1.45,190.45,12        10,190.45,1.45,191.9, ,191.9,192,0.1,2
47,4  +  6,168,1.45,169.45,10        8,169.45,1.45,170.9, ,170.9,171,0.1,1
37,2  +  1,123,1.45,124.45,3        5,124.45,1.45,125.9, ,125.9,126,0.1,1
19,3  +  7,54,1.45,55.45,10        12,55.45,1.45,56.9, ,56.9,57,0.1,1
50,4  +  4,177,1.45,178.45,10        8,178.45,1.45,179.9, ,179.9,180,0.1,2
22,1  +  6,78,1.45,79.45,7        9,79.45,1.45,80.9, ,80.9,81,0.1,1
29,3  +  5,99,1.45,100.45,8        10,100.45,1.45,101.9, ,101.9,102,0.1,1
21,5  +  3,75,1.45,76.45,6        8,76.45,1.45,77.9, ,77.9,78,0.1,2
3,1  +  7,6,1.45,7.45,8        6,7.45,1.45,8.9, ,8.9,9,0.1,1
53,2  +  5,186,1.45,187.45,9        7,187.45,1.45,188.9, ,188.9,189,0.1,2
25,2  +  8,87,1.45,88.45,12        10,88.45,1.45,89.9, ,89.9,90,0.1,2
17,6  +  2,48,1.45,49.45,8        10,49.45,1.45,50.9, ,50.9,51,0.1,1
66,3  +  6,240,1.45,241.45,11        9,241.45,1.45,242.9, ,242.9,243,0.1,2
71,7  +  1,255,1.45,256.45,8        6,256.45,1.45,257.9, ,257.9,258,0.1,1
